AnPost_ID,PO_Name,Address1,Address2,Address3,Address4,Address5,Address6,Phone,Eircode,Town,County,PO_Class,Latitude,Longitude,Opening_Hours,Services_Offered
101,Abbeydorney,Abbeydorney Post Office,The Village,Abbeydorney,Co. Kerry,,,066-7135141,V92 FX09,Abbeydorney,Co. Kerry,Automated Contract Office,52.3460513,-9.68989524,Mon 9:00 - 1:00 1:30 - 5:30; Tue 9:00 - 1:00 1:30 - 5:30; Wed 9:00 - 1:00 1:30 - 5:30; Thu 9:00 - 1:00 1:30 - 5:30; Fri 9:00 - 1:00 1:30 - 5:30; Sat 9:00 - 1:00,AIB Banking Services;BillPay;Business Banking;Courier Post;Danske Bank Cash Lodgements;DSFA Payments;Express Post;Garda Fines;Gift Cards;Mobile Phone Top Up;Passport Express;Post Insurance Products;Post Office Savings Bank;Postal Money Orders;Registered Post;Savings and Investment Products;Stamps;Standard Post;Top Up Tolltag;TV and Dog Licences;Ulster Bank Cash Lodgements;Western Union
102,Abbeyfeale,Abbeyfeale Post Office,Church Street,Abbeyfeale,Co. Limerick,,,068-31171,V94 NY32,Abbeyfeale,Co. Limerick,Automated Contract Office,52.38561072,-9.30156543,Mon 9:00 - 5:30; Tue 9:00 - 5:30; Wed 9:00 - 5:30; Thu 9:00 - 5:30; Fri 9:00 - 5:30; Sat 9:00 - 1:00,AIB Banking Services;BillPay;Business Banking;Courier Post;Danske Bank Cash Lodgements;DSFA Payments;Express Post;ForeignExchange;Garda Fines;Gift Cards;International Courier Service;Mobile Phone Top Up;Passport Express;Post Insurance Products;Post Office Savings Bank;Postal Money Orders;PostFX Currency Card;Registered Post;Savings and Investment Products;Stamps;Standard Post;Top Up Tolltag;TV and Dog Licences;Ulster Bank Cash Lodgements;Western Union
139,Abbeyknockmoy,Abbeyknockmoy Post Office,Abbeyknockmoy,Co. Galway,,,,093-43025,H54 D577,Abbeyknockmoy,Co. Galway,Automated Contract Office,53.43750092,-8.74947606,Mon 9:00 - 1:00 2:00 - 5:30; Tue 9:00 - 1:00 2:00 - 5:30; Wed 9:00 - 1:00 2:00 - 5:30; Thu 9:00 - 1:00 2:00 - 5:30; Fri 9:00 - 1:00 2:00 - 5:30; Sat 9:00 - 1:00,AIB Banking Services;BillPay;Business Banking;Courier Post;Danske Bank Cash Lodgements;DSFA Payments;Express Post;Garda Fines;Gift Cards;Mobile Phone Top Up;Passport Express;Post Insurance Products;Post Office Savings Bank;Postal Money Orders;Registered Post;Savings and Investment Products;Stamps;Standard Post;Top Up Tolltag;TV and Dog Licences;Ulster Bank Cash Lodgements;Western Union
103,Abbeyleix,Abbeyleix Post Office,Market Square,Abbeyleix,Co. Laois,,,057-8731230,R32 FX90,Abbeyleix,Co. Laois,Automated Contract Office,52.91450923,-7.34814858,Mon 9:00 - 1:00 2:00 - 5:30; Tue 9:00 - 1:00 2:00 - 5:30; Wed 9:00 - 1:00 2:00 - 5:30; Thu 9:00 - 1:00 2:00 - 5:30; Fri 9:00 - 1:00 2:00 - 5:30; Sat 9:00 - 1:00,AIB Banking Services;AIB Cheque Acceptance;BillPay;Business Banking;Courier Post;Danske Bank Cash Lodgements;DSFA Payments;Express Post;ForeignExchange;Garda Fines;Gift Cards;Mobile Phone Top Up;Passport Express;Post Insurance Products;Post Office Savings Bank;Postal Money Orders;PostFX Currency Card;Registered Post;Savings and Investment Products;Stamps;Standard Post;Top Up Tolltag;TV and Dog Licences;Ulster Bank Cash Lodgements;Western Union
105,Abbeyside; Dungarvan,Abbeyside Post Office,The Causeway,Abbeyside,Dungarvan,Co. Waterford,,058-43778,X35 EY96,Dungarvan,Co. Waterford,Automated Contract Office,52.09204304,-7.61649752,Mon 9:00 - 5:30; Tue 9:00 - 5:30; Wed 9:00 - 5:30; Thu 9:00 - 5:30; Fri 9:00 - 5:30; Sat 9:00 - 5:30,AIB Banking Services;BillPay;Business Banking;Courier Post;Danske Bank Cash Lodgements;DSFA Payments;Express Post;Garda Fines;Gift Cards;Mobile Phone Top Up;Passport Express;Post Insurance Products;Post Office Savings Bank;Postal Money Orders;PostFX Currency Card;Registered Post;Savings and Investment Products;Stamps;Standard Post;Top Up Tolltag;TV and Dog Licences;Ulster Bank Cash Lodgements;Western Union
106,Achill Sound,Achill Sound Post Office,Davitt Quarter,Achill Sound,Co. Mayo,,,098-45141,F28 KH48,Achill Sound,Co. Mayo,Automated Contract Office,53.93035338,-9.92548754,Mon 9:00 - 1:00 2:00 - 5:30; Tue 9:00 - 1:00 2:00 - 5:30; Wed 9:00 - 1:00 2:00 - 5:30; Thu 9:00 - 1:00 2:00 - 5:30; Fri 9:00 - 1:00 2:00 - 5:30; Sat 9:00 - 1:00,AIB Banking Services;BillPay;Business Banking;Courier Post;Danske Bank Cash Lodgements;DSFA Payments;Express Post;Garda Fines;Gift Cards;Mobile Phone Top Up;Passport Express;Post Insurance Products;Post Office Savings Bank;Postal Money Orders;PostFX Currency Card;Postmobile Prepay;Registered Post;Savings and Investment Products;Stamps;Standard Post;Top Up Tolltag;TV and Dog Licences;Ulster Bank Cash Lodgements;Western Union;Wild Atlantic Way Passport
107,Aclare,Aclare Post Office,Aclare,Co. Sligo,,,,071-9181050,F91 PH94,Aclare,Co. Sligo,Automated Contract Office,54.0364588,-8.89886822,Mon 9:00 - 1:00 2:00 - 5:30; Tue 9:00 - 1:00 2:00 - 5:30; Wed 9:00 - 1:00 2:00 - 5:30; Thu 9:00 - 1:00 2:00 - 5:30; Fri 9:00 - 1:00 2:00 - 5:30; Sat 9:00 - 1:00,AIB Banking Services;BillPay;Business Banking;Courier Post;Danske Bank Cash Lodgements;DSFA Payments;Express Post;Garda Fines;Gift Cards;Mobile Phone Top Up;Passport Express;Post Insurance Products;Post Office Savings Bank;Postal Money Orders;Registered Post;Savings and Investment Products;Stamps;Standard Post;Top Up Tolltag;TV and Dog Licences;Ulster Bank Cash Lodgements;Western Union
108,Adamstown,Adamstown Post Office,Adamstown,Co. Wexford,,,,053-9240900,Y21 H972,Adamstown,Co. Wexford,Automated Contract Office,52.39333875,-6.7194515,Mon 9:00 - 1:00 2:00 - 5:30; Tue 9:00 - 1:00 2:00 - 5:30; Wed 9:00 - 1:00 2:00 - 5:30; Thu 9:00 - 1:00 2:00 - 5:30; Fri 9:00 - 1:00 2:00 - 5:30; Sat 9:00 - 1:00,AIB Banking Services;BillPay;Business Banking;Courier Post;Danske Bank Cash Lodgements;DSFA Payments;Express Post;Garda Fines;Gift Cards;Mobile Phone Top Up;Passport Express;Post Insurance Products;Post Office Savings Bank;Postal Money Orders;Registered Post;Savings and Investment Products;Stamps;Standard Post;Top Up Tolltag;TV and Dog Licences;Ulster Bank Cash Lodgements;Western Union
109,Adare,Adare Post Office,Main Street,Adare,Co. Limerick,,,061-396120,V94 Y2V5,Adare,Co. Limerick,Automated Contract Office,52.56354252,-8.79224719,Mon 9:00 - 1:00 2:00 - 5:30; Tue 9:00 - 1:00 2:00 - 5:30; Wed 9:00 - 1:00 2:00 - 5:30; Thu 9:00 - 1:00 2:00 - 5:30; Fri 9:00 - 1:00 2:00 - 5:30; Sat 9:00 - 1:00,AIB Banking Services;BillPay;Business Banking;Courier Post;Danske Bank Cash Lodgements;DSFA Payments;Express Post;Garda Fines;Gift Cards;Mobile Phone Top Up;Passport Express;Post Insurance Products;Post Office Savings Bank;Postal Money Orders;PostFX Currency Card;Registered Post;Savings and Investment Products;Stamps;Standard Post;Top Up Tolltag;TV and Dog Licences;Ulster Bank Cash Lodgements;Western Union
111,Aghacashel,Aghacashel Post Office,Aghacashel,Co. Leitrim,,,,071-9641301,N41 DN20,Aghacashel,Co. Leitrim,Automated Contract Office,54.07031148,-7.93144209,Mon 9:00 - 1:00 2:00 - 5:30; Tue 9:00 - 1:00 2:00 - 5:30; Wed 9:00 - 1:00; Thu 9:00 - 1:00 2:00 - 5:30; Fri 9:00 - 1:00 2:00 - 5:30; Sat 9:00 - 1:00 2:00 - 5:30,AIB Banking Services;BillPay;Business Banking;Courier Post;Danske Bank Cash Lodgements;DSFA Payments;Express Post;Garda Fines;Gift Cards;Mobile Phone Top Up;Passport Express;Post Insurance Products;Post Office Savings Bank;Postal Money Orders;Registered Post;Savings and Investment Products;Stamps;Standard Post;Top Up Tolltag;TV and Dog Licences;Ulster Bank Cash Lodgements;Western Union
